name,address,lat,lon
Starbucks,"8555 Campeau Drive, Ottawa, ON K2S 1B9",45.295791,-75.939319
Starbucks,"5055 Innovation Drive, Kanata, ON K2K 3K1",45.34419,-75.930411
Starbucks,"500 Terry Fox Drive, Kanata, ON K2T 1C3",45.308831,-75.916744
Starbucks,"200 Earl Grey Drive, Ottawa, ON K2T 1B6",45.309926,-75.915505
Starbucks,"400 Earl Grey Drive, Kanata, ON K2T 1B9",45.311608,-75.914139
Starbucks,"1251 Main Street, Stittsville, ON K2S 2E5",45.26884,-75.929308
Starbucks,"4055 Carling Ave, 1, Kanata, ON K2K 2A4",45.338501,-75.907865
Starbucks,"457 Hazeldean Road, Kanata, ON K2L 1V1",45.300168,-75.885751
Starbucks,"690 Eagleson Road, Ottawa, ON K2M 2G9",45.286754,-75.867724
Starbucks,"1831 Robertson Road, Nepean, ON K2H 8X3",45.328247,-75.818912
Starbucks,"100 Bayshore Drive, Unit FCRU1, Ottawa, ON K2B 8C1",45.347414,-75.807362
Starbucks,"2735 Iris Street, Ottawa, ON K2C 3S4",45.349511,-75.787953
Starbucks,"495 Ch Vanier, Gatineau, QC J9J 3J1",45.41608,-75.806486
Starbucks,"2222 Carling Avenue, Unit 1, Ottawa, ON K2A 1H3",45.36909,-75.772213
Starbucks,"1379 Woodroffe Avenue, Nepean, ON K2G 1V7",45.350365,-75.761738
Starbucks,"1385 Woodroffe Ave, Ottawa, ON K2G 1V8",45.349959,-75.75625
Starbucks,"1181 Greenbank Road, Ottawa, ON K2J 4Y6",45.274453,-75.748235
Starbucks,"3201 Greenbank Rd, Ottawa, ON k2j 4h9",45.268559,-75.743819
Starbucks,"421 Richmond Road, 101, Ottawa, ON K2A 4H1",45.390503,-75.757389
Starbucks,"1350 Baseline Road, Ottawa, ON K2C 0A9",45.362723,-75.736507
Starbucks,"505 McNeely Road, Carleton Place, ON K7C 0A8",45.132047,-76.119243
Starbucks,"3302 Woodroffe Avenue, Ottawa, ON K2J 4G5",45.275131,-75.718766
Starbucks,"330 West Hunt Club Road, Ottawa, ON K2E 0B7",45.339056,-75.712241
Starbucks,"1620 Scott Street, 30, Ottawa, ON K1Y 4S7",45.403884,-75.733759
Starbucks,"349 Preston Street, Unit 1D-20A, Ottawa, ON K1S 5N4",45.401827,-75.709978
Starbucks,"1125 Colonel By Dr, Ottawa, ON K1S 5B6",45.383376,-75.697599
Starbucks,"1125 Colonel By Drive, Ottawa, ON K1S 5B6",45.387159,-75.697147
Starbucks,"100 Kent St, Ottawa, ON K1P 5R7",45.419994,-75.7034
Starbucks,"340 Albert Street, Unit No G-06, Ottawa, ON K1R 7X7",45.418832,-75.702563
Starbucks,"690 Hunt Club Road, Ottawa, ON K1V 1C3",45.34283,-75.669748
Starbucks,"99 Bank Street, G-009, Ottawa, ON K1P 1E4",45.420397,-75.699807
Starbucks,"296 Bank Street, Ottawa, ON K2P1X8",45.415016,-75.696117
Starbucks,"787 Bank Street, Ottawa, ON K1S 3V5",45.403195,-75.688254
Starbucks,"455 Bank Street Unit 3, Ottawa, ON K2P 1Z1",45.411502,-75.693105
Starbucks,"81 Metcalfe St, Ottawa, ON K1P 6K7",45.421189,-75.695709
Starbucks,"216 Elgin Street, Ottawa, ON K2P 1L7",45.41901,-75.691568
Starbucks,"50 Rideau Centre, Unit #246, Ottawa, ON K1N 9J7",45.425428,-75.692943
Starbucks,"1914 Bank Street, 2, Ottawa, ON K1V 7Z8",45.368235,-75.662605
Starbucks,"2210 Bank Street, Ottawa, ON K1V 1G6",45.356731,-75.655827
Starbucks,"71 Blvd de la Gappe, Unite 2, Gatineau, QC J8T 0B5",45.464607,-75.717638
Starbucks,"275 Laurier Ave East, Unit C, Ottawa, ON K1N 6P7",45.426702,-75.680098
