name,address,lat,lon,phone
Burger King,"199 Montreal Road, Vanier, ON, K1L 6E2",45.435408,-75.663364,6137447016
Burger King,"104 boul. Greber, Gatineau, QC, J8T 6H5",45.466162,-75.700333,8195685159
Burger King,"1804 St. Laurent Boulevard, Ottawa, ON, K1G 1A2",45.404053,-75.625986,6135237433
Burger King,"1356 Clyde Avenue, Suite #16, Ottawa, ON, K2C 3Z4",45.362021,-75.740192,6137239039
Burger King,"527 West Hunt Club Road, Nepean, ON, K2G 5W5",45.334107,-75.725732,6137275840
Burger King,"2035 10th Line Road, Cumberland, ON, K4A 4C5",45.459097,-75.486681,6138375554
Burger King,"700 March Road, Kanata, ON, K2K 2V6",45.349427,-75.925135,6135997102
