name,address,phone_number,lat,lng
Tim Horton's,"100 Metcalfe Street, Ottawa, ON K1P 0A7",6132328910,45.421099,-75.696023
Tim Horton's,"171 Slater Street, Ottawa, ON K1P 5H7",6135694767,45.420179,-75.697915
Tim Horton's,"90 Elgin Street, Ottawa, ON K1P 0C6",6132386444,45.422085,-75.694770
Tim Horton's,"161 Laurier Ave, Ottawa, ON K1P 5J2",6137875999,45.420454,-75.694452
Tim Horton's,"200 Sparks Street, Ottawa, ON K1P 5C1",6134221317,45.421363,-75.700950
Tim Horton's,"187 Bank Street, Ottawa, ON K2P 1W7",6132344777,45.417966,-75.698599
Tim Horton's,"275 Slater St, Ottawa, ON K1P 5H9",6132300555,45.418630,-75.701413
Tim Horton's,"263 Bank Street, Ottawa, ON K2P 1X5",6133210391,45.416340,-75.697204
Tim Horton's,"330 Queen St, Ottawa, ON K1R 7Y5",6132325021,45.419047,-75.703990
Tim Horton's,"50 Rideau Street, Ottawa, ON K1N 9J7",6132355522,45.425823,-75.691672
Tim Horton's,"99-99 Rideau Street, Ottawa, ON K1N 9L8",6137893323,45.426206,-75.691604
Tim Horton's,"525 Somerset Street West, Ottawa, ON K1R 5W6",6135652629,45.413303,-75.701800
Tim Horton's,"423 Cumberland St, Ottawa, ON K1N 0B5",6137896444,45.427928,-75.687176
Tim Horton's,"450 Bank Street, Kanata, ON K2K 1X7",6132385885,45.411837,-75.693483
Tim Horton's,"200, Promenade Du Portage, Gatineau, QC J8X 4B7",8197720303,45.426766,-75.712926
Tim Horton's,"15, Rue Eddy, Gatineau, QC J8X 4B3",8197786596,45.425120,-75.720301
Tim Horton's,"655 Bronson Avenue, Ottawa, ON K1S 4E7",6132303343,45.403892,-75.701430
Tim Horton's,"120 Montreal Rd, Vanier, ON K1L 6E6",6137492994,45.433870,-75.667330
Tim Horton's,"115 Montreal Rd, Vanier, ON K1L 6E8",6137498851,45.434262,-75.666398
Tim Horton's,"1583 Alta Vista, Ottawa, ON K1G 0E9",6135264400,45.408294,-75.658141
Tim Horton's,"1967 Riverside Drive, Ottawa, ON K1H 7W9",6134210123,45.397067,-75.668484
Tim Horton's,"40 Ruskin Avenue, Ottawa, ON K1Y 4W7",6133255536,45.394430,-75.721067
Tim Horton's,"1263-1265 Bank Street, Ottawa, ON K1S 3Y2",6137369118,45.390584,-75.679726
Tim Horton's,"1053 Carling Avenue, Ottawa, ON K1Y 4E9",6137616003,45.392504,-75.722326
Tim Horton's,"1125 Colonel By Drive, Ottawa, ON K1S 5B6",6135202600,45.387053,-75.697480
Tim Horton's,"535 Terminal Ave, Ottawa, ON K1G 0Z2",6132440118,45.414723,-75.643608
Tim Horton's,"2277 Riverside Drive, Ottawa, ON K1H 7X6",6137360428,45.385759,-75.677430
Tim Horton's,"46 Boulevard Greber, Gatineau, QC J8T 3P6",8195619009,45.460955,-75.702454
Tim Horton's,"501 Smyth Road, Ottawa, ON K1H 8L6",6135263196,45.402029,-75.646051
Tim Horton's,"631 Industrial Avenue, Ottawa, ON K1G 0Z1",6132489058,45.411161,-75.640794
Tim Horton's,"1239 Donald Street, Ottawa, ON K1J 8W3",6137427700,45.429542,-75.639788
Tim Horton's,"1200 St Laurent Boulevard, Ottawa, ON K1K 3B8",6138428101,45.422462,-75.637687
Tim Horton's,"650, Boul. St-Joseph, Gatineau, QC J8Y 4A8",8197760074,45.451990,-75.738209
Tim Horton's,"585 Montreal Road, Ottawa, ON K1K 4K3",6137413085,45.442426,-75.644621
Tim Horton's,"1611 Bank Street, Ottawa, ON K1V 7Y8",6132601440,45.378270,-75.666977
Tim Horton's,"1600 Bank St, Ottawa, ON K1V 7Y6",6132603064,45.378068,-75.667429
Tim Horton's,"210, Boul. De La Cite Des Jeunes, Gatineau, QC J8Y 6L1",8199391111,45.449227,-75.754392
Tim Horton's,"208, Boul. St-Raymond, Gatineau, QC J9A 3H6",8197786481,45.436930,-75.766491
Tim Horton's,"894, Boul. St-Joseph, Gatineau, QC J8Z 1S9",8197762552,45.464576,-75.738549
Tim Horton's,"1802 St Laurent Blvd, Ottawa, ON K1G 1A2",6135233467,45.403659,-75.627021
Tim Horton's,"1406 Prince Of Wales Drive, Ottawa, ON K2C 1N6",6137271772,45.369081,-75.702100
Tim Horton's,"25, Ch. De La Savane, Gatineau, QC J8T 8A4",8195610296,45.474122,-75.704971
Tim Horton's,"1100, Boulevard Maloney Ouest, Gatineau, QC J8T 6G3",8195253898,45.475736,-75.697035
Tim Horton's,"1260 Merivale Rd, Ottawa, ON K2C 4A7",6137617080,45.370470,-75.732532
Tim Horton's,"1610 Walkley Rd, Ottawa, ON K1V 6P5",6137319236,45.377587,-75.645163
Tim Horton's,"1778 Carling Avenue, Ottawa, ON K2A 1E1",6137921311,45.377227,-75.753743
Tim Horton's,"378, Boul. Greber, Gatineau, QC J8T 5R6",8192469000,45.481218,-75.701766
Tim Horton's,"1950 Walkley Road, Ottawa, ON K1H 1W1",6137387942,45.382485,-75.631739
Tim Horton's,"640, Boul. Maloney Ouest Walmart #3125, Gatineau, QC J8P 7M4",8192461793,45.481261,-75.676223
Tim Horton's,"1859 Carling Ave, Ottawa, ON K2A 1E4",6137283234,45.376442,-75.757446
Tim Horton's,"1150 Blair Rd, Gloucester, ON K1B 3K7",6137421800,45.433330,-75.608400
Tim Horton's,"1494 Innes Road, Gloucester, ON K1B 3V5",613842-8024,45.414800,-75.604600
Tim Horton's,"2016 Ogilvie Rd, Gloucester, ON K1J 7N9",,45.436198,-75.605414
