rowid,name,address,category2,category3,Nbhd,lat,lng
198,Circle K,"4000 Bridle Path, GLOUCESTER, Canada",convenience,regular,Emerald Woods - Sawmill Creek,45.3483871,-75.6457041
199,Circle K,"3705 Riverside DR, OTTAWA, Canada",convenience,gas station,Hunt Club Woods - Quintarra - Revelstoke,45.3426999,-75.6904138
200,Circle K,"479 March RD, KANATA, Canada",convenience,gas station,Brookside - Briarbrook - Morgan's Grant,45.3423152,-75.9171222
201,Circle K,"2545 Baseline RD, OTTAWA, Canada",convenience,gas station,Iris - Queensway Terrance South,45.3421276,-75.7863083
202,Circle K,"1545 Woodroffe Ave., NEPEAN, Canada",convenience,gas station,Tanglewood,45.3343192,-75.7517676
203,Circle K,"2162 Prince Of Wales DR, NEPEAN, Canada",convenience,gas station,Hunt Club South Industrial,45.3333553,-75.7018235
204,Circle K,"1856 Robertson RD, OTTAWA, Canada",convenience,gas station,Bells Corners East,45.3271403,-75.8197411
205,Circle K,"299 Greenbank Rd., NEPEAN, Canada",convenience,gas station,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,45.3237882,-75.7773955
206,Circle K,"418 Moodie Drive, NEPEAN, Canada",convenience,regular,Bells Corners West,45.3208341,-75.8331709
207,Circle K,"715 Limoges Road, LIMOGES, Canada",convenience,gas station,(None),45.3184163,-75.2443258
208,Circle K,"501 Terry Fox DR, KANATA, Canada",convenience,gas station,Kanata Lakes - Arcardia,45.3100283,-75.918045
209,Circle K,"401 Hazeldean RD, KANATA, Canada",convenience,gas station,Katimavik - Hazeldean,45.3041528,-75.8776654
210,Circle K,"44 Edgewater ST, KANATA, Canada",convenience,gas station,Katimavik - Hazeldean,45.2975093,-75.9009396
211,Circle K,"62 Stonehaven, KANATA, Canada",convenience,regular,Bridlewood - Emerald Meadows,45.2923085,-75.8578066
212,Circle K,"4184 Spratt Road, Unit 1, OTTAWA, Canada",convenience,regular,Riverside South - Leitrim,45.2831629,-75.6855826
213,Circle K,"3580 Strandherd RD, OTTAWA, Canada",convenience,gas station,Old Barrhaven East,45.2746008,-75.7385337
214,Circle K,"5525 Appleton Side Road, ALMONTE, Canada",convenience,gas station,(None),45.2367095,-76.1792507
215,Circle K,"86 Bridge St., ALMONTE, Canada",convenience,regular,(None),45.2243153,-76.1950639
216,Circle K,"6138 Perth Street, RICHMOND, Canada",convenience,regular,Richmond,45.1938724,-75.8389807
217,Circle K,"324 COLEMAN ST, OTTAWA, US",convenience,gas station,(None),45.1395484,-76.1276438
218,Circle K,"10483 HWY 7, CALETON PLACE, Canada",convenience,gas station,(None),45.1324077,-76.1211595
219,Circle K,"542 St. Lawrence St., WINCHESTER, Canada",convenience,regular,(None),45.0905082,-75.3523885
220,Cobs Bread,"3161 Strandherd Crossing, Ottawa, ON K2J 5N1",specialty,bakery,Chapman Mills,45.274029,-75.719344
221,COBS Bread,"4-3890 Innes Road, Ottawa, ON K1W 1K9",specialty,bakery,Chapel Hill South,45.4535451,-75.5084902
222,Continental Delicatessen,"57 York Street, Ottawa, ON K1N 9B7",grocery,small,Byward Market,45.4283345,-75.6927514
223,Convenience Store Best Service,"2249 Carling Ave, Ottawa, ON K2B 7E9",convenience,regular,Carlingwood West - Glabar Park - McKellar Heights,45.3692691,-75.7744008
224,Convenience Store Remac,"487 Cumberland Street, Ottawa, ON K1N 7K1",convenience,regular,Sandy Hill,45.4262919,-75.6859216
225,Convinience Maximum,"11 Springfield Road, Ottawa, ON K1M 1C8",convenience,regular,Lindenlea - New Edinburgh,45.4402613,-75.6765958
226,Corner Kitchen,"200 Kent Street, Ottawa, ON K2P 2J8",specialty,bakery,Centretown,45.41714,-75.7014594
227,Costco,"1405 Blair Towers Place, Ottawa, ON",grocery,large,Beacon Hill South - Cardinal Heights,45.4349421,-75.6034548
228,Costco,"1900 Cyrville Rd, K1B 1A5 Ottawa",grocery,large,East Industrial,45.4151698,-75.6033867
229,Costco,"1849 Merivale Rd, K2G 1E3 Ottawa",grocery,large,Hunt Club South Industrial,45.3377624,-75.7224261
230,Costco,"770 Silver Seven Rd, K2V 0A1 Kanata",grocery,large,Katimavik - Hazeldean,45.3026258,-75.9131164
231,Costco,"4315 Strandherd Dr, K2J 6E5 Ottawa",grocery,large,Stonebridge - Half Moon Bay - Heart's Desire,45.2684597,-75.7843783
232,Cote Poultry,"2770 Lancaster Road, Ottawa, ON",grocery,small,East Industrial,45.395577,-75.606277
233,Couche-Tard,"175 Avenue LÃƒÂ©pine, Buckingham, CA",convenience,gas station,(None),45.5758929,-75.400335
234,Country Style,"340 Laurier Ave W, Ottawa, ON K1P 5K3",convenience,regular,Centretown,45.4179829,-75.6998984
235,County Line,"685 River Rd, Gloucester, ON K1V 2G2",grocery,small,Riverside South - Leitrim,45.2701673,-75.6978273
236,County Line Arnprior,"150 Madawaska Boulevard, Arnprior, ON",convenience,regular,(None),45.43355,-76.3432962
237,Crosswinds Convenience,"641 Bathgate Dr, Ottawa, ON K1K 3Y3",convenience,regular,Carson Grove - Carson Meadows,45.4465282,-75.6241498
238,Cummings Convenience Store,"969 Cummings Ave, Gloucester, ON K1J 7R9",convenience,regular,Overbrook - McArthur,45.4320779,-75.6344962
239,Cupcake Lounge,"6 Byward Market Square, Ottawa, ON K1N 9B8",specialty,bakery,Byward Market,45.4285137,-75.6937187
240,D'Cake,"2054 Baffin Avenue, Ottawa, ON K1H 5X3",specialty,bakery,Billings Bridge - Alta Vista,45.3916697,-75.6530232
241,DÃƒÂ©lice Royal,"1600 Forest Valley Drive, Ottawa, ON K1C 6X7",specialty,bakery,Chapel Hill North,45.4488546,-75.535982
242,Daily Convenience,"1220 Merivale Rd, Ottawa, ON K1Z 8P2",convenience,regular,Civic Hospital-Central Park,45.3717162,-75.7335133
243,Daisy Mart Beckers,"906 Shefford Road, Gloucester, ON K1J 6X4",convenience,regular,Rothwell Heights - Beacon Hill North,45.4523899,-75.5899417
244,Damas Supermarket,"3033 Carling Avenue, Ottawa, ON",grocery,small,Bayshore - Belltown,45.3550822,-75.8063329
245,Dao Bake & Sip Cafe,"1558 Merivale Road, Ottawa, ON K2G 3J9",specialty,bakery,Cityview - Crestview - Meadowlands,45.3528521,-75.7354312
246,Darvesh Gas Grocery LCBO & Beer Store,"3084 Kinburn Side Road, Kinburn, ON K0A 2H0",convenience,gas station,Kinburn,45.391489,-76.1885617
247,Deli Du Marche,"425 La Verendrye Blvd E, Gatineau, QC J8R 2W8",specialty,deli meat cheese,(None),45.5019607,-75.641189
248,Deli Du Marche,"320 Saint-Joseph Blvd, Gatineau, QC J8Y 3Y8",specialty,deli meat cheese,(None),45.4414769,-75.7319311
249,Deli Express,"177 Saint-Joseph Blvd, Gatineau, QC J8Y 3X1",specialty,deli meat cheese,(None),45.4328434,-75.7333682
250,Deli Kat Cafe,"277 Sparks St, Ottawa, ON K1R 7X9",specialty,deli meat cheese,Centretown,45.4202413,-75.7037713
251,Deli Nicolas,"1100 Maloney Blvd W, Gatineau, QC J8T 6G3",specialty,deli meat cheese,(None),45.4756531,-75.6972849
252,Delightful Tastes,"8-250 Greenbank Road, Ottawa, ON K2H 1E9",specialty,bakery,Briar Green - Leslie Park,45.3402934,-75.7880089
253,Delightfully Delicious Desserts,"1355 Bakker Court, Ottawa, ON K1C 2K5",specialty,bakery,Convent Glen - Orléans Woods,45.4657273,-75.539795
254,DEPANNEUR 9 NEUF,"9 RUE THERIEN, GATINEAU, QC",convenience,regular,(None),45.4540293,-75.7520168
255,DEPANNEUR AMIGOS ENRG,"296 BOUL MALONEY E, GATINEAU, QC",convenience,regular,(None),45.4842112,-75.6449367
256,Depanneur Miron,"723 Notre Dame Rue, Embrun, ON K0A 1W1",convenience,regular,(None),45.2700628,-75.2933863
257,DEPANNEUR TACHE,"376 BOUL ALEXANDRE TACHE, GATINEAU, QC",convenience,regular,(None),45.4218749,-75.7459196
258,Desh Grocery,"103 Mann Ave, Ottawa, ON K1N 5Y8",convenience,regular,Sandy Hill,45.4211628,-75.6724142
259,Desi Food Market Orleans,"2580 St Joseph Blvd, Orleans, ON K1C 1G3",grocery,small,Orléans Village - Chateauneuf,45.4706222,-75.5251418
260,Desi Price Club,"1950 Merivale Rd Unit-13, Nepean, ON K2G 5T5",grocery,small,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,45.326052,-75.7198339
261,Di Rienzo's,"111 Beech Street, Ottawa, ON K1S 4P1",convenience,regular,West Centretown,45.4000201,-75.7120537
262,Discount Tobacco & Grocery Shop,"5646 Manotick Main Street, Manotick, ON K4M 1B3",convenience,regular,Manotick,45.2201635,-75.6768404
263,Divisoria Market,"1743 Carling Avenue, Ottawa, ON",grocery,small,Laurentian,45.3782045,-75.752689
264,Dollar Tree,"2756 Chamberland Street Unit 2, Rockland Plaza, Rockland, ON, K4K 0B2",convenience,regular,(None),45.5441947,-75.3027572
265,Dollar Tree,"Unit 8 - 3722 Innes Road, Riocan Center, Orleans, ON, K1W 0C8",convenience,regular,Chapel Hill South,45.4496516,-75.5170968
266,Dollar Tree,"Unit 2 -1021 Cyrville Rd, Riocan St Laurent Shopping Center, Ottawa, ON, K1J 7S3",convenience,regular,Overbrook - McArthur,45.4265482,-75.6371528
267,Dollar Tree,"1750 Innes Road, Silver City Center, Ottawa, ON, K1B 3K5",convenience,regular,East Industrial,45.4162282,-75.6005309
268,Dollar Tree,"1460 Merivale Rd, Loblaws Plaza, Nepean, ON, K2E 5P2",convenience,regular,Skyline - Fisher Heights,45.361929,-75.7353509
269,Dollar Tree,"Unit 2  2950 Bank Street, Blossom Pk Plaza, Ottawa (Gloucester), ON, K1T 1N8",convenience,regular,Hunt Club Upper -Blossom Park - Timbermill,45.344538,-75.622643
270,Dollar Tree,"525 West Hunt Club Road, Nepean Crossroads Center, Nepean, ON, K2G 5W5",convenience,regular,Tanglewood,45.3351046,-75.727479399999993
271,Dollar Tree,"#1-5703 Hazeldean Rd., Shoppes at Fairwinds, Stittsville, ON, K2S 0P6",convenience,regular,Stittsville,45.2854021,-75.9131451
272,Dollar Tree,"25 Landsdowne Avenue, Carleton Place Mews, Carleton Place, ON, K7C 3S9",convenience,regular,(None),45.1363362,-76.1406411
273,Dollar Tree,"2970 County Rd 43, Kemptville Crossing, Kemptville, ON, K0G 1J0",convenience,regular,(None),45.0288613,-75.6363201
274,Dollarama,"425 boul St-Joseph, Gatineau, QC, J8Y3Z8",convenience,regular,(None),45.4456609,-75.7340534
275,Dollarama,"594 Montreal Rd, Ottawa, ON, K1K0T9",convenience,regular,Overbrook - McArthur,45.4414064,-75.6442188
276,Dollarama,"1980 Ogilvie Rd, Gloucester, ON, K1J9L3",convenience,regular,Carson Grove - Carson Meadows,45.4325275,-75.6098258
277,Dollarama,"2640 Innes Rd, Ottawa, ON, K1B4Z5",convenience,regular,Blackburn Hamlet,45.4313633,-75.5623379
278,Dollarama,"1239 Donald St, Ottawa, ON, K1J8W3",convenience,regular,Overbrook - McArthur,45.4295001,-75.6398084
279,Dollarama,"305 Rideau St, Ottawa, ON, K1N 9E5",convenience,regular,Lowertown,45.429285,-75.6855887
280,Dollarama,"183 Rideau St, Ottawa, ON, K1N5X8",convenience,regular,Byward Market,45.4275353,-75.6891985
281,Dollarama,"1200 St Laurent Blvd, Ottawa, ON, K1K3B8",convenience,regular,Overbrook - McArthur,45.4219466,-75.6387057
282,Dollarama,"255 Elgin St, Ottawa, ON, K2P 1L8",convenience,regular,Centretown,45.4183701,-75.6906583
283,Dollarama,"500 Terminal Ave., Ottawa, ON, K1G0Z3",convenience,regular,East Industrial,45.4144745,-75.6471402
284,Dollarama,"1050 Somerset St W, Ottawa, ON, K1Y3C5",convenience,regular,Hintonburg - Mechanicsville,45.4065044,-75.7195173
285,Dollarama,"1910 St. Laurent Blvd, Ottawa, ON, K1G 1A4",convenience,regular,Elmvale - Canterbury,45.3990561,-75.6239131
286,Dollarama,"2277 Riverside Dr, Ottawa, ON, K1H 7X6",convenience,regular,Billings Bridge - Alta Vista,45.3856281,-75.6774777
287,Dollarama,"1670 Heron Rd, Ottawa, ON, K1V0C2",convenience,regular,Ledbury - Heron Gate - Ridgemont,45.379825,-75.644557
288,Dollarama,"2121 Carling Ave., Ottawa, ON, K2A 1H2",convenience,regular,Laurentian,45.3731497,-75.7686794
289,Dollarama,"2679 Alta Vista Dr, Ottawa, ON, K1V7T5",convenience,regular,Ledbury - Heron Gate - Ridgemont,45.372543,-75.6631
290,Dollarama,"2515 Bank St, Ottawa, ON, K1V0Y4",convenience,regular,South Keys - Greenboro West,45.3544223,-75.6451719
291,Dollarama,"1009 Daze St, Ottawa, ON, K1V 2G3",convenience,regular,South Keys - Greenboro West,45.3538452,-75.6517844
292,Dollarama,"1363 Woodroffe Ave, Nepean, ON, K2G 1V7",convenience,regular,Cityview - Crestview - Meadowlands,45.3508168,-75.7584962
293,Dollarama,"1651 Merivale Rd, Nepean, ON, K2G3K2",convenience,regular,Borden Farm - Fisher Glen,45.3502756,-75.7312492
294,Dollarama,"565 West Hunt Club Rd, Nepean, ON, K2G 5W5",convenience,regular,Tanglewood,45.3358623,-75.7285727
295,Dollarama,"228 Hunt Club Rd, Ottawa, ON, K1V1C1",convenience,regular,Hunt Club - Ottawa Airport,45.3335674,-75.6913084
296,DollyDoll Cupcake Co,"2333 Church St., North Gower, ON K0A 2T0",specialty,bakery,North Gower - Kars,45.1306724,-75.7161944
297,Domestic Foods,"595 Gladstone Ave, Ottawa, ON K1R 5P2",grocery,small,Centretown,45.4092318,-75.7010511
298,Donna's Friendly Store,"157 Cathcart St, Ottawa, ON K1N 5C1",grocery,small,Byward Market,45.4336358,-75.695023
299,Drip House,"340B Parkdale Avenue, Ottawa, ON K1Y 2W5",specialty,bakery,Hintonburg - Mechanicsville,45.4023214,-75.7307914
300,Drummond's Gas,"635 Bronson Ave, Ottawa, ON K1S 4E7",convenience,gas station,Glebe - Dows Lake,45.4036335,-75.7009458
301,Drummond's Gas,"1925 Merivale Road, Nepean, ON K2G 1E7",convenience,gas station,Hunt Club South Industrial,45.3296415,-75.7205072
302,Drummond's Gas,"5501 Bank Street, Gloucester, ON K1X 1G9",convenience,gas station,Edwards - Carlsbad Springs,45.2814668,-75.5707625
303,Drummond's Gas,"5220 Mitch Owens Road, Manotick, ON K4M 1B2",convenience,gas station,Manotick,45.233935,-75.675158
304,Drummond's Gas,"5789 Perth, Richmond, ON K0A 2Z0",convenience,gas station,Richmond,45.2046343,-75.8233229
305,Druxy's Famous Deli Sandwiches,"100 Metcalfe St, Ottawa, ON K1P 5M1",specialty,deli meat cheese,Centretown,45.4207709,-75.6958446
306,Dumouchel Meat & Deli,"351 Donald St, Ottawa, ON K1K 1M4",specialty,deli meat cheese,Overbrook - McArthur,45.4281847,-75.6530505
307,Dunn's Famous Deli,"355 Dalhousie Street, Ottawa, ON",specialty,deli meat cheese,Byward Market,45.4281632,-75.6902091
308,Dunn's Famous Deli,"203 Queen St, Ottawa, ON K1P 5C9",specialty,deli meat cheese,Centretown,45.4208664,-75.7005441
309,Durocher Market,"200 Durocher Street, Vanier, ON K1L 7S4",convenience,regular,Vanier North,45.4364772,-75.6664526
310,Dutch Groceries and Giftware,"1400 Clyde Avenue, Ottawa, ON",grocery,small,Cityview - Crestview - Meadowlands,45.3583259,-75.7389182
311,Dynes Express,"890 Dynes Rd, Ottawa, ON K2C 0G8",convenience,regular,Carleton Heights - Rideauview,45.3699579,-75.7046893
312,Eating Well Ottawa,"1169 Parisien Street, Ottawa, ON",grocery,small,East Industrial,45.4201195,-75.6273123
313,Econo-Medical,"3234 Hawthorne Road, Ottawa, ON K1G 3W9",specialty,health store,East Industrial,45.3817889,-75.6017695
314,Eden 2,"1869 walkley Road, Ottawa, ON K1H 6X9",specialty,health store,Playfair Park - Lynda Park - Guildwood Estates,45.3821101,-75.6353459
315,Edgar,"60 Rue BÃƒÂ©gin, Gatineau, QC J9A 1E2",specialty,bakery,(None),45.4208108,-75.7452017
316,Encore Deli-cious Sandwiches,"58 Antares Dr, Ottawa, ON K2E 7W6",specialty,deli meat cheese,Hunt Club South Industrial,45.3303677,-75.7098027
317,Epicerie Jocelyn Claire Fournier,"29 Rue Morin, Ottawa, ON",grocery,small,(None),45.4293178,-75.7249381
318,Epicuria,"357 St Laurent Boulevard, Ottawa, ON K1K 2Z7",specialty,bakery,Manor Park,45.448773,-75.6506923
319,ESSO CIRCLE K,"3869 INNES RD, ORLEANS, ON",convenience,gas station,Orléans Village - Chateauneuf,45.4531593,-75.5120415
320,ESSO CIRCLE K,"120 MONTREAL RD, VANIER, ON",convenience,gas station,Vanier South,45.4340001,-75.6660956
321,ESSO CIRCLE K,"450 BANK ST, OTTAWA, ON",convenience,gas station,Centretown,45.4118113,-75.6937908
322,ESSO COUCHE-TARD,"101 RUE GEORGES, GATINEAU, QC",convenience,gas station,(None),45.5540846,-75.4363994
323,ESSO COUCHE-TARD,"1225 RUE DE NEUVILLE, GATINEAU, QC",convenience,gas station,(None),45.5310494,-75.4960703
324,ESSO COUCHE-TARD,"348 BOUL LORRAIN, GATINEAU, QC",convenience,gas station,(None),45.5069413,-75.6089149
325,ESSO COUCHE-TARD,"882 BOUL ST-RENE O, GATINEAU, QC",convenience,gas station,(None),45.4892103,-75.6893638
326,ESSO COUCHE-TARD,"725 BOUL DES HAUTES-PLAINES, GATINEAU, QC",convenience,gas station,(None),45.474538,-75.7719339
327,ESSO COUCHE-TARD,"480 BOUL SAINT-JOSEPH, GATINEAU, QC",convenience,gas station,(None),45.4464211,-75.7323619
328,ESSO COUCHE-TARD,"51 BOUL FOURNIER, GATINEAU, QC",convenience,gas station,(None),45.4463463,-75.7130504
329,ESSO COUCHE-TARD,"585 BOUL DES GRIVES, GATINEAU, QC",convenience,gas station,(None),45.4435358,-75.7859961
330,Europa Food Centre,"77 Beechwood Ave, Ottawa, ON",grocery,small,Lindenlea - New Edinburgh,45.4406892,-75.6747722
331,European Delicatessen,"1568 Merivale Road, Ottawa, ON",grocery,small,Cityview - Crestview - Meadowlands,45.3516443,-75.7347403
332,Extreme Pita,"1125 Colonel By Dr, Ottawa, ON K1S 5B6",specialty,deli meat cheese,Carleton University,45.3874831,-75.6959835
333,Fairway Trading Co,"9 Byward Market Square, Ottawa, ON K1N 9B8",grocery,small,Byward Market,45.4284911,-75.6933351
334,Farhat's Bakery,"1119 Meadowlands Drive, Ottawa, ON K2C 0K5",specialty,bakery,Parkwood Hills - Stewart Farm,45.3629646,-75.7121133
335,farm 2 fork,"3150 Hawthorne Rd, Ottawa, ON K1G 5H5",grocery,small,East Industrial,45.385374,-75.6043151
336,Farm Boy,"3035 St. Joseph Boulevard, Ottawa, ON K1E 1E1",grocery,large,Convent Glen - Orléans Woods,45.4776536,-75.5132978
337,Farm Boy,"2030 Tenth Line Road, Ottawa, ON K4A 4X4",grocery,large,Portobello South,45.4584073,-75.4877257
338,Farm Boy,"50 Rideau Street, Ottawa, ON K1N 9J7",grocery,large,Sandy Hill,45.4252795,-75.6929819
339,Farm Boy,"193 Metcalfe Street, Ottawa, ON K2P 0S5",grocery,large,Centretown,45.4187946,-75.6929885
340,Farm Boy,"830 Belfast Rd, Ottawa, ON K1G 0Z4",grocery,large,East Industrial,45.412515,-75.6380428
341,Farm Boy,"317 McRae Avenue, Ottawa, ON K1Z 8P4",grocery,large,Westboro,45.3960489,-75.7498115
342,Farm Boy,"1500 Bank St., Ottawa, ON, K1H 7Z1",grocery,large,Billings Bridge - Alta Vista,45.3809813,-75.6701018
343,Farm Boy,"1642 Merivale Road, Ottawa, ON K2G 4A1",specialty,deli meat cheese,Cityview - Crestview - Meadowlands,45.3455841,-75.732034
344,Farm Boy,"2950 Bank Street, Ottawa ON K1T 1N8",grocery,large,Hunt Club Upper -Blossom Park - Timbermill,45.344538,-75.622643
345,Farm Boy,"499 Terry Fox Drive, Ottawa, ON K2T 1H7",grocery,large,Kanata Lakes - Arcardia,45.3108116,-75.9199686
346,Farm Boy,"457 Hazeldean Road, Ottawa, ON K2L 1V1",grocery,large,Katimavik - Hazeldean,45.3001758,-75.8857221
347,Farm Boy,"3033 Woodroffe Avenue, Ottawa, ON K2G 6H2",grocery,large,Rideau Crest - Davidson Heights,45.2881771,-75.7251596
348,Farm Boy,"1250 Stittsville Main St., Ottawa, ON, K2S 1S9",grocery,large,Stittsville,45.2683251,-75.9311153
349,Farm Boy,"1495 Richmond Road, Ottawa, ON, K2B 6R9",grocery,large,Britannia Village,45.362791,-75.7912934
350,Farm Boy,"1642 Merivale Road, Ottawa, ON K2G 4A1",grocery,large,Cityview - Crestview - Meadowlands,45.3455841,-75.732034
351,Farm Boy,"585 Montreal Road, Ottawa, ON K1K 4K3",grocery,large,Manor Park,45.4426297,-75.6443967
352,Farm House,"55 Byward Market Sq, Ottawa, ON K1N 9C3",specialty,bakery,Byward Market,45.427449,-75.6923646
353,Farmer's Pick,"1430 Prince of Wales Drive, Ottawa, ON",grocery,small,Carleton Heights - Rideauview,45.3685302,-75.7027863
354,Fas Gas & Crystal Wash,"1111 Ogilvie Road, Ottawa, ON K1J 7P7",convenience,gas station,Overbrook - McArthur,45.426329,-75.6323658
355,FidÃƒÂ©lice,"262 Saint-Joseph Blvd, Gatineau, QC J8Y 3X8",specialty,bakery,(None),45.4372481,-75.7326373
356,Fiesta Manila bakery and Filipino Store,"1800 Bank St, Ottawa, ON K1V 0W3",grocery,small,Billings Bridge - Alta Vista,45.3715892,-75.6643203
357,Firehouse Subs,"3838 Innes Rd, Ottawa, ON K1W 1K9",specialty,deli meat cheese,Chapel Hill South,45.4522275,-75.5126743
358,Firehouse Subs,"2014 Ogilvie Rd., Gloucester, ON K1J 7N9",specialty,deli meat cheese,Beacon Hill South - Cardinal Heights,45.4369307,-75.6037275
359,Firehouse Subs,"280 West Hunt Club Rd, Nepean, ON K2E 0B7",specialty,deli meat cheese,Hunt Club South Industrial,45.3395459,-75.711934
360,Firehouse Subs,"41 Marketplace Ave, Nepean, ON K2J 5G4",specialty,deli meat cheese,Chapman Mills,45.2690589,-75.7442837
361,Fitness Warehouse,"2095 St Joseph Blvd, Orleans, ON K1C 1E7",specialty,health store,Convent Glen - Orléans Woods,45.4666127,-75.5357775
362,Food Africana Shop,"1848 Carling Ave, Ottawa, ON K2A 2P5",grocery,small,Carlingwood West - Glabar Park - McKellar Heights,45.3758925,-75.7565765
363,FOOD BASICS,9030 County Road 17 Rockland K4K 1V5,grocery,large,(None),45.5481786,-75.301749
364,FOOD BASICS,3712 Innes Road Orleans K1W 0C8,grocery,large,Chapel Hill South,45.4501454,-75.5174796
365,FOOD BASICS,"1021 Cyrville Road, Unit 1 Ottawa K1J 7S3",grocery,large,Overbrook - McArthur,45.4257875,-75.6359037
366,FOOD BASICS,667 Kirkwood Avenue Ottawa K1Z 8N7,grocery,large,Westboro,45.3852151,-75.7406076
367,FOOD BASICS,1670 Heron Road Ottawa K1V 0C2,grocery,large,Ledbury - Heron Gate - Ridgemont,45.379825,-75.644557
368,FOOD BASICS,"1465 Merivale Road, Unit 13 Ottawa K2E 5N9",grocery,large,Skyline - Fisher Heights,45.3609612,-75.7340239
369,FOOD BASICS,150 Katimavik Road Kanata K2L 2N2,grocery,large,Katimavik - Hazeldean,45.3124188,-75.8958402
370,FOOD BASICS,5703 Hazeldean Road Stittsville K2S 0P6,grocery,large,Stittsville,45.2852452,-75.9135878
371,FOOD BASICS,900 Greenbank Road Ottawa K2J 1S8,grocery,large,Old Barrhaven West,45.2847264,-75.7564617
372,FOOD BASICS,"2615 Highway #43, R.R. #5 Kemptville K0G 1J0",grocery,large,(None),45.0199425,-75.65949
373,Food Frenz,"275 Laurier Ave. E, Ottawa, ON K1N 6P7",grocery,large,Sandy Hill,45.4266821,-75.6800434
374,Food Frenz,"2910 Carling Avenue, Ottawa, ON K2B 7J7",convenience,regular,Whitehaven - Queensway Terrace North,45.3566719,-75.8006858
375,FOODLAND,"1349 Meadow Drive, Greely, on, K4P 1N3",grocery,large,Greely,45.2657496,-75.5632462
376,FOODLAND,"101-6045 Bank Street, Greely, on, K4P 0G5",grocery,large,Greely,45.2633793,-75.5549986
377,FOODLAND,"148 Craig Street, Russell, on, K4R 1A1",grocery,large,(None),45.2570873,-75.3722076
378,FOODLAND,"5669 Main Street, Osgoode, on, K0A 2W0",grocery,large,Osgoode - Vernon,45.1486903,-75.6009866
379,FOODLAND,"12015 Main Street West, Winchester, on, K0C 2K0",grocery,large,(None),45.0875094,-75.3722924
380,Forever Living Products,"58 Promenade Ave, Nepean, ON K2E 5X8",specialty,health store,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,45.3276785,-75.7039663
381,Foster Family Farm,"2345 Roger Stevens Dr, North Gower, ON K0A 2T0",grocery,small,North Gower - Kars,45.1312747,-75.7178534
382,Frank's Catering & Baked Goods,"283 Greenbank Road, Ottawa, ON",specialty,bakery,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,45.3242692,-75.7776888
383,Frankie's Deli,"58 Antares Drive, Ottawa, ON K2E 7W6",specialty,deli meat cheese,Hunt Club South Industrial,45.3303677,-75.7098027
384,Franktown Grocery Gas and Pizza,"9645 Highway 15, Smiths Falls, ON K7A 4S7",convenience,gas station,(None),45.0388419,-76.0594753
385,Free Range Meat & Deli,"194 Robertson Rd, Ottawa, ON K2H 9J5",specialty,deli meat cheese,Bells Corners West,45.3176435,-75.843842
386,Fresh Grocer,"40 Jolliet Av, Vanier, ON K1L 5H5",grocery,small,Vanier North,45.4431425,-75.6687168
387,Fresh Start Foods Inc,"2072 Walkley Rd, Ottawa, ON K1G 3V3",grocery,small,East Industrial,45.3847588,-75.6258196
388,FRESHCO,"320 McArthur Avenue, Ottawa, on, K1L 5G2",grocery,large,Overbrook - McArthur,45.4302588,-75.653843
389,FRESHCO,"1595 Merivale Road, Unit # 5, Ottawa, on, K2G 3J4",grocery,large,Skyline - Fisher Heights,45.3524148,-75.7327639
390,FRESHCO,"2150 Robertson Road, Nepean, on, K2H 9S1",grocery,large,Bells Corners West,45.3194282,-75.8366715
391,FRESHCO,"4750 Bank Street, Ottawa, on, K1J 0K8",grocery,large,Findlay Creek,45.3191181,-75.5957883
392,FRESHCO,"2480 Strandherd Dr., Building A, Ottawa, on, K2G 4S4",grocery,large,Rideau Crest - Davidson Heights,45.2738887,-75.7100224
393,FRESHCO,"110 Lansdowne Avenue, Carleton Place, on, K7C 2T7",grocery,large,(None),45.1340916,-76.1395226
394,Fruits Express,"5310 Canotek Road, Ottawa, ON",grocery,small,Rothwell Heights - Beacon Hill North,45.4520762,-75.5875447
395,GÃƒÂ¢teaux Gourmands 3D,"865 Maloney E, Gatineau, QC J8P 1H3",specialty,bakery,(None),45.4870022,-75.6042904
396,Gagne en SantÃƒÂ©,"224 Rue Bellehumeur, Gatineau, QC J8T 8N6",specialty,health store,(None),45.4800691,-75.6933375
397,Gateway Newstand,"50 Rideau St, Ottawa, ON K1N 9J1",convenience,regular,Sandy Hill,45.4250234,-75.6909652
398,Gateway Newstand,"90 Sparks Street, Ottawa, ON K1P 5B4",convenience,regular,Centretown,45.4226531,-75.6964906
399,Gateway Newstand,"99 Metcalfe St, Ottawa, ON K1P 6L7",grocery,large,Centretown,45.4208809,-75.6952365
400,Gateway Newstand Blair Bus Terminal,"1980 Ogilvie Road, Gloucester, ON K1J 9L3",convenience,regular,Carson Grove - Carson Meadows,45.4325275,-75.6098258
401,GB Carribean Grocery,"609-A Center St, Ottawa, ON K1K 2N8",grocery,small,Overbrook - McArthur,45.4418747,-75.6427476
402,Geeland,"1020 St. Laurent Blvd, Ottawa, ON K1K 4S2",grocery,small,Overbrook - McArthur,45.4277621,-75.6398977
