name,cost_center,ccs,address,city,latitude,longitude,franchise,store_brand,display_brand,op_status,division_name,distance,country,url,services,franchise_brand
241,241,0,4930 BOUL. SAINT-CHARLES,PIERREFONDS,45.4687658,-73.876367,0,Couche-Tard,Couche-Tard,Open,quebec,87.95526712418173,CA,/store-locator/CA/pierrefonds/4930-boul-saint-charles/241,"public_restrooms, atm, roller_grill, sloche, redbull_shop, ca_coffee",NA
291,291,0,551 BOUL. JACQUES-BIZARD,L'ÎLE-BIZARD,45.4946761,-73.8756878,0,Couche-Tard,Couche-Tard,Open,quebec,88.03314404744981,CA,/store-locator/CA/l-ile-bizard/551-boul-jacques-bizard/291,"public_restrooms, atm, redbull_shop, ca_coffee",NA
196,196,0,1031 RUE GILLES-VIGNEAULT,BLAINVILLE,45.668945,-73.8971499,0,Couche-Tard,Couche-Tard,Open,quebec,88.25605284587594,CA,/store-locator/CA/blainville/1031-rue-gilles-vigneault/196,"public_restrooms, atm",NA
178,178,0,251 25E AVENUE,SAINT-EUSTACHE,45.5761438,-73.87496,0,Couche-Tard,Couche-Tard,Open,quebec,88.44592214185037,CA,/store-locator/CA/saint-eustache/251-25e-avenue/178,"diesel, public_restrooms, atm, roller_grill, sloche, redbull_shop, ca_coffee",NA
1230,1230,0,"3671, boulevard St-Charles",Kirkland,45.4583778,-73.8638929,0,Couche-Tard,Couche-Tard,Open,quebec,88.55182245813805,CA,/store-locator/CA/kirkland/3671-boulevard-st-charles/1230,"atm, ca_coffee",NA
1271,1271,0,"15200, BOUL DE PIERREFONDS",MONTRÉAL (PIERREFONDS),45.4816354,-73.8623946,0,Couche-Tard,Couche-Tard,Open,quebec,88.64930395422746,CA,/store-locator/CA/montreal-pierrefonds/15200-boul-de-pierrefonds/1271,"diesel, public_restrooms, atm, ca_coffee",NA
1088,1088,1,106 Sutherland Drive,KINGSTON,44.268165,-76.47948,0,Circle K,Circle K,Open,ontario,88.72460341965426,Canada,/store-ontario/Canada/kingston/106-sutherland-drive/1088,"gas, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
426,426,0,53 RUE ELLICE,BEAUHARNOIS,45.3159298,-73.8695669,0,Couche-Tard,Couche-Tard,Open,quebec,88.75916331786578,CA,/store-locator/CA/beauharnois/53-rue-ellice/426,"atm, ca_coffee",NA
173,173,0,1059 BOUL. DU CURE-LABELLE,BLAINVILLE,45.6764569,-73.8852571,0,Couche-Tard,Couche-Tard,Open,quebec,88.90962711138897,CA,/store-locator/CA/blainville/1059-boul-du-cure-labelle/173,"public_restrooms, atm, ca_coffee",NA
1244,1244,0,8990 BOUL. DE LA GRANDE-ALLÉE,MIRABEL,45.6422566,-73.8767056,0,Couche-Tard,Couche-Tard,Open,quebec,88.93015683943923,CA,/store-locator/CA/mirabel/8990-boul-de-la-grande-allee/1244,"car_wash, diesel, public_restrooms, atm, roller_grill, sloche, redbull_shop, ca_coffee",NA
