Category1,Category2,Category3,Chain,Update date,Name,address,Y,X,NEMS Code,Note,NBID,NB_name
food,fast food,regular,1,20180628,TERIYAKI EXPERIENCE,8555 CAMPEAU DRIVE,45.29743958,-75.93804932,120,,928,Kanata Lakes - Arcardia
food,restaurant,nightlife,0,201806,Terrace On The Canal,"191 Colonel By Dr, Ottawa, ON K1N 5P8",45.4213498,-75.6854253,,,949,Sandy Hill
food,restaurant,regular,0,20180706,THAI COCONUT,1390 PRINCE OF WALES,45.36916733,-75.70326996,,,16,Carleton Heights - Rideauview
food,fast food,regular,1,20180628,THAI EXPRESS,100 BAYSHORE DRIVE,45.34763718,-75.80548859,,,901,Bayshore - Belltown
food,fast food,regular,1,20180628,THAI EXPRESS,"110 Place d'Orléans Dr Unit 2250, Orléans, ON K1C 2L9",45.47739,-75.515881,,,915,Convent Glen - Orléans Woods
food,fast food,regular,1,20180628,THAI EXPRESS,111 ALBERT STREET,45.42169189,-75.6975174,,,24,Centretown
food,fast food,regular,1,20180628,THAI EXPRESS,1200 ST LAURENT BOULEVARD,45.42274475,-75.63847351,,,940,Overbrook - McArthur
food,fast food,regular,1,20180628,THAI EXPRESS,1331 CLYDE AVENUE,45.36282349,-75.7399292,,,28,Civic Hospital-Central Park
food,fast food,regular,1,20180628,THAI EXPRESS,"1465 Richmond Road, Unit# 300, Ottawa, ON K2B 6R9",45.3633001,-75.7905325,,,906,Britannia Village
food,fast food,regular,1,20180628,THAI EXPRESS,"1600 Heron Rd, Ottawa, ON K1V 2P5",45.3796212,-75.6460848,,,932,Ledbury - Heron Gate - Ridgemont
food,fast food,regular,1,20180628,THAI EXPRESS,"2014 Ogilvie Rd #6, Gloucester, ON K1J 7N9",45.4369307,-75.6037275,,,3,Beacon Hill South - Cardinal Heights
food,fast food,regular,1,20180628,THAI EXPRESS,"2121 Carling Ave #721, Ottawa, ON K2A 1H2",45.3731497,-75.7686794,,,931,Laurentian
food,fast food,regular,1,20180628,THAI EXPRESS,2277 RIVERSIDE DRIVE,45.38549423,-75.67940521,,,903,Billings Bridge - Alta Vista
food,fast food,regular,1,20180628,THAI EXPRESS,"330 West Hunt Club Road, Ottawa, ON K2E 0B7",45.3380561,-75.7155521,,,51,Hunt Club South Industrial
food,fast food,regular,1,20180628,THAI EXPRESS,3712 INNES ROAD,45.44984055,-75.51715088,,,75,Chapel Hill South
food,fast food,regular,1,20180628,THAI EXPRESS,3777 STRANDHERD DRIVE,45.26806641,-75.74797058,,,952,Stonebridge - Half Moon Bay - Heart's Desire
food,fast food,regular,1,20180628,THAI EXPRESS,50 RIDEAU STREET,45.42478561,-75.68963623,,,949,Sandy Hill
food,fast food,regular,1,20180628,THAI EXPRESS,"525 Industrial Ave #3, Ottawa, ON K1G 0Z1",45.4119774,-75.6460701,,,917,East Industrial
food,fast food,regular,1,20180628,THAI EXPRESS,5507 HAZELDEAN ROAD,45.28961563,-75.90239716,,,951,Stittsville
food,fast food,regular,1,20180628,THAI EXPRESS,"South Keys, 2210 Bank St, Ottawa, ON K1V 1J5",45.354899,-75.6547546,,,97,South Keys - Greenboro West
food,restaurant,regular,0,20180710,Thai Flame Restaurant,"1902 Robertson Road, Ottawa, ON K2H 5B8",45.3260845,-75.8217529,,,6,Bells Corners East
food,fast food,regular,0,20180706,THAI GO,1309 CARLING AVENUE,45.38703156,-75.73561096,309,,28,Civic Hospital-Central Park
food,restaurant,regular,0,20180706,THAI LANNA CUISINE,2401 BANK STREET,45.35486221,-75.64919281,,,97,South Keys - Greenboro West
food,fast food,regular,0,20180706,THAI PLUS,354 RIDEAU STREET,45.42954636,-75.68356323,294,,949,Sandy Hill
food,convenience store,regular,0,20180706,Thana Market,386 Bank St,45.41346741,-75.69495392,,,24,Centretown
